,name,framepath,label
87,70,D:\split_video\class_action_16\playphone\70,0
88,71,D:\split_video\class_action_16\playphone\71,0
89,72,D:\split_video\class_action_16\playphone\72,0
90,73,D:\split_video\class_action_16\playphone\73,0
91,74,D:\split_video\class_action_16\playphone\74,0
92,75,D:\split_video\class_action_16\playphone\75,0
93,76,D:\split_video\class_action_16\playphone\76,0
94,77,D:\split_video\class_action_16\playphone\77,0
95,78,D:\split_video\class_action_16\playphone\78,0
96,79,D:\split_video\class_action_16\playphone\79,0
97,8,D:\split_video\class_action_16\playphone\8,0
98,80,D:\split_video\class_action_16\playphone\80,0
99,81,D:\split_video\class_action_16\playphone\81,0
100,82,D:\split_video\class_action_16\playphone\82,0
101,83,D:\split_video\class_action_16\playphone\83,0
102,84,D:\split_video\class_action_16\playphone\84,0
103,85,D:\split_video\class_action_16\playphone\85,0
104,86,D:\split_video\class_action_16\playphone\86,0
105,87,D:\split_video\class_action_16\playphone\87,0
106,88,D:\split_video\class_action_16\playphone\88,0
107,89,D:\split_video\class_action_16\playphone\89,0
108,9,D:\split_video\class_action_16\playphone\9,0
109,90,D:\split_video\class_action_16\playphone\90,0
110,91,D:\split_video\class_action_16\playphone\91,0
111,92,D:\split_video\class_action_16\playphone\92,0
112,93,D:\split_video\class_action_16\playphone\93,0
113,94,D:\split_video\class_action_16\playphone\94,0
114,95,D:\split_video\class_action_16\playphone\95,0
115,96,D:\split_video\class_action_16\playphone\96,0
116,97,D:\split_video\class_action_16\playphone\97,0
117,98,D:\split_video\class_action_16\playphone\98,0
118,99,D:\split_video\class_action_16\playphone\99,0
119,0,D:\split_video\class_action_16\readbook\0,1
120,1,D:\split_video\class_action_16\readbook\1,1
121,10,D:\split_video\class_action_16\readbook\10,1
122,11,D:\split_video\class_action_16\readbook\11,1
123,12,D:\split_video\class_action_16\readbook\12,1
124,13,D:\split_video\class_action_16\readbook\13,1
125,14,D:\split_video\class_action_16\readbook\14,1
126,15,D:\split_video\class_action_16\readbook\15,1
127,16,D:\split_video\class_action_16\readbook\16,1
128,17,D:\split_video\class_action_16\readbook\17,1
129,18,D:\split_video\class_action_16\readbook\18,1
130,19,D:\split_video\class_action_16\readbook\19,1
131,2,D:\split_video\class_action_16\readbook\2,1
132,20,D:\split_video\class_action_16\readbook\20,1
133,21,D:\split_video\class_action_16\readbook\21,1
134,22,D:\split_video\class_action_16\readbook\22,1
135,23,D:\split_video\class_action_16\readbook\23,1
136,24,D:\split_video\class_action_16\readbook\24,1
137,25,D:\split_video\class_action_16\readbook\25,1
138,26,D:\split_video\class_action_16\readbook\26,1
139,27,D:\split_video\class_action_16\readbook\27,1
140,28,D:\split_video\class_action_16\readbook\28,1
141,29,D:\split_video\class_action_16\readbook\29,1
142,3,D:\split_video\class_action_16\readbook\3,1
143,30,D:\split_video\class_action_16\readbook\30,1
144,31,D:\split_video\class_action_16\readbook\31,1
145,32,D:\split_video\class_action_16\readbook\32,1
146,33,D:\split_video\class_action_16\readbook\33,1
147,34,D:\split_video\class_action_16\readbook\34,1
148,35,D:\split_video\class_action_16\readbook\35,1
149,36,D:\split_video\class_action_16\readbook\36,1
150,4,D:\split_video\class_action_16\readbook\4,1
151,5,D:\split_video\class_action_16\readbook\5,1
152,6,D:\split_video\class_action_16\readbook\6,1
153,7,D:\split_video\class_action_16\readbook\7,1
154,8,D:\split_video\class_action_16\readbook\8,1
155,9,D:\split_video\class_action_16\readbook\9,1
156,0,D:\split_video\class_action_16\watch\0,2
157,1,D:\split_video\class_action_16\watch\1,2
158,10,D:\split_video\class_action_16\watch\10,2
159,11,D:\split_video\class_action_16\watch\11,2
160,12,D:\split_video\class_action_16\watch\12,2
161,13,D:\split_video\class_action_16\watch\13,2
162,14,D:\split_video\class_action_16\watch\14,2
163,15,D:\split_video\class_action_16\watch\15,2
164,16,D:\split_video\class_action_16\watch\16,2
165,17,D:\split_video\class_action_16\watch\17,2
166,18,D:\split_video\class_action_16\watch\18,2
167,19,D:\split_video\class_action_16\watch\19,2
168,2,D:\split_video\class_action_16\watch\2,2
169,20,D:\split_video\class_action_16\watch\20,2
170,21,D:\split_video\class_action_16\watch\21,2
171,22,D:\split_video\class_action_16\watch\22,2
172,23,D:\split_video\class_action_16\watch\23,2
173,24,D:\split_video\class_action_16\watch\24,2
174,25,D:\split_video\class_action_16\watch\25,2
175,26,D:\split_video\class_action_16\watch\26,2
176,27,D:\split_video\class_action_16\watch\27,2
177,28,D:\split_video\class_action_16\watch\28,2
178,29,D:\split_video\class_action_16\watch\29,2
179,3,D:\split_video\class_action_16\watch\3,2
180,30,D:\split_video\class_action_16\watch\30,2
181,31,D:\split_video\class_action_16\watch\31,2
182,32,D:\split_video\class_action_16\watch\32,2
183,33,D:\split_video\class_action_16\watch\33,2
184,34,D:\split_video\class_action_16\watch\34,2
185,35,D:\split_video\class_action_16\watch\35,2
186,36,D:\split_video\class_action_16\watch\36,2
187,37,D:\split_video\class_action_16\watch\37,2
188,38,D:\split_video\class_action_16\watch\38,2
189,39,D:\split_video\class_action_16\watch\39,2
190,4,D:\split_video\class_action_16\watch\4,2
191,40,D:\split_video\class_action_16\watch\40,2
192,41,D:\split_video\class_action_16\watch\41,2
193,42,D:\split_video\class_action_16\watch\42,2
194,43,D:\split_video\class_action_16\watch\43,2
195,44,D:\split_video\class_action_16\watch\44,2
196,45,D:\split_video\class_action_16\watch\45,2
197,46,D:\split_video\class_action_16\watch\46,2
198,47,D:\split_video\class_action_16\watch\47,2
199,48,D:\split_video\class_action_16\watch\48,2
200,49,D:\split_video\class_action_16\watch\49,2
201,5,D:\split_video\class_action_16\watch\5,2
202,50,D:\split_video\class_action_16\watch\50,2
203,51,D:\split_video\class_action_16\watch\51,2
204,52,D:\split_video\class_action_16\watch\52,2
205,53,D:\split_video\class_action_16\watch\53,2
206,54,D:\split_video\class_action_16\watch\54,2
207,55,D:\split_video\class_action_16\watch\55,2
208,56,D:\split_video\class_action_16\watch\56,2
209,57,D:\split_video\class_action_16\watch\57,2
210,58,D:\split_video\class_action_16\watch\58,2
211,59,D:\split_video\class_action_16\watch\59,2
212,6,D:\split_video\class_action_16\watch\6,2
213,60,D:\split_video\class_action_16\watch\60,2
214,61,D:\split_video\class_action_16\watch\61,2
215,62,D:\split_video\class_action_16\watch\62,2
216,63,D:\split_video\class_action_16\watch\63,2
217,64,D:\split_video\class_action_16\watch\64,2
218,7,D:\split_video\class_action_16\watch\7,2
219,8,D:\split_video\class_action_16\watch\8,2
220,9,D:\split_video\class_action_16\watch\9,2
221,0,D:\split_video\class_action_16\write\0,3
222,1,D:\split_video\class_action_16\write\1,3
223,10,D:\split_video\class_action_16\write\10,3
224,11,D:\split_video\class_action_16\write\11,3
225,12,D:\split_video\class_action_16\write\12,3
226,13,D:\split_video\class_action_16\write\13,3
227,14,D:\split_video\class_action_16\write\14,3
228,15,D:\split_video\class_action_16\write\15,3
229,16,D:\split_video\class_action_16\write\16,3
230,17,D:\split_video\class_action_16\write\17,3
231,18,D:\split_video\class_action_16\write\18,3
232,19,D:\split_video\class_action_16\write\19,3
233,2,D:\split_video\class_action_16\write\2,3
234,20,D:\split_video\class_action_16\write\20,3
235,21,D:\split_video\class_action_16\write\21,3
236,22,D:\split_video\class_action_16\write\22,3
237,23,D:\split_video\class_action_16\write\23,3
238,24,D:\split_video\class_action_16\write\24,3
239,25,D:\split_video\class_action_16\write\25,3
240,26,D:\split_video\class_action_16\write\26,3
241,27,D:\split_video\class_action_16\write\27,3
242,28,D:\split_video\class_action_16\write\28,3
243,29,D:\split_video\class_action_16\write\29,3
244,3,D:\split_video\class_action_16\write\3,3
245,30,D:\split_video\class_action_16\write\30,3
246,31,D:\split_video\class_action_16\write\31,3
247,32,D:\split_video\class_action_16\write\32,3
248,33,D:\split_video\class_action_16\write\33,3
249,34,D:\split_video\class_action_16\write\34,3
250,35,D:\split_video\class_action_16\write\35,3
251,36,D:\split_video\class_action_16\write\36,3
252,37,D:\split_video\class_action_16\write\37,3
253,38,D:\split_video\class_action_16\write\38,3
254,39,D:\split_video\class_action_16\write\39,3
255,4,D:\split_video\class_action_16\write\4,3
256,40,D:\split_video\class_action_16\write\40,3
257,41,D:\split_video\class_action_16\write\41,3
258,42,D:\split_video\class_action_16\write\42,3
259,43,D:\split_video\class_action_16\write\43,3
260,44,D:\split_video\class_action_16\write\44,3
261,45,D:\split_video\class_action_16\write\45,3
262,46,D:\split_video\class_action_16\write\46,3
263,47,D:\split_video\class_action_16\write\47,3
264,48,D:\split_video\class_action_16\write\48,3
265,49,D:\split_video\class_action_16\write\49,3
266,5,D:\split_video\class_action_16\write\5,3
267,50,D:\split_video\class_action_16\write\50,3
268,51,D:\split_video\class_action_16\write\51,3
269,52,D:\split_video\class_action_16\write\52,3
270,53,D:\split_video\class_action_16\write\53,3
271,54,D:\split_video\class_action_16\write\54,3
272,55,D:\split_video\class_action_16\write\55,3
273,56,D:\split_video\class_action_16\write\56,3
274,57,D:\split_video\class_action_16\write\57,3
275,58,D:\split_video\class_action_16\write\58,3
276,59,D:\split_video\class_action_16\write\59,3
277,6,D:\split_video\class_action_16\write\6,3
278,60,D:\split_video\class_action_16\write\60,3
279,61,D:\split_video\class_action_16\write\61,3
280,62,D:\split_video\class_action_16\write\62,3
281,63,D:\split_video\class_action_16\write\63,3
282,64,D:\split_video\class_action_16\write\64,3
283,65,D:\split_video\class_action_16\write\65,3
284,66,D:\split_video\class_action_16\write\66,3
285,67,D:\split_video\class_action_16\write\67,3
286,68,D:\split_video\class_action_16\write\68,3
287,69,D:\split_video\class_action_16\write\69,3
288,7,D:\split_video\class_action_16\write\7,3
289,70,D:\split_video\class_action_16\write\70,3
290,71,D:\split_video\class_action_16\write\71,3
291,72,D:\split_video\class_action_16\write\72,3
292,8,D:\split_video\class_action_16\write\8,3
293,9,D:\split_video\class_action_16\write\9,3
